
Months,2016,
Jan,0.075
Feb,0.07
Mar,0.91
Apr,0.96
May,0.08
Jun,0.81
Jul,0.96
Aug,0.89
Sept,0.08
Oct,0.78
Nov,0.64
Dec,0.1


